0,0,0,0,0,0,0
-0.000267159,0,-0.000284102,-0.000627692,-0.000860664,0,0
-0.001064715,0,-0.001132446,-0.00250765,-0.003438312,0,0
-0.002386784,0,-0.002539092,-0.00563519,-0.007726416,0,0
-0.004227486,0,-0.004498106,-0.0100056,-0.01371848,0,0
-0.006580935,0,-0.007003542,-0.0156143,-0.02140792,0,0
-0.009441252,0,-0.010049468,-0.0224565,-0.03078816,0,0
-0.012802554,0,-0.013629938,-0.0305276,-0.04185288,0,0
-0.01665896,0,-0.017739022,-0.0398228,-0.05459536,0,0
-0.021004583,0,-0.02237077,-0.0503376,-0.06900912,0,0
-0.025833542,0,-0.027519248,-0.0620672,-0.08508768,0,0
-0.031139955,0,-0.033178518,-0.0750069,-0.10282448,0,0
-0.036917942,0,-0.039342638,-0.089152,-0.12221296,0,0
-0.043161623,0,-0.046005678,-0.104498,-0.14324672,0,0
-0.049865112,0,-0.053161692,-0.1210401,-0.16591904,0,0
-0.057022517,0,-0.060804728,-0.1387735,-0.19022352,0,0
-0.064627974,0,-0.068928872,-0.1576937,-0.21615368,0,0
-0.072675593,0,-0.077528174,-0.177796,-0.24370288,0,0
-0.081159476,0,-0.086596678,-0.1990756,-0.27286464,0,0
-0.090073769,0,-0.096128476,-0.221528,-0.30363248,0,0
-0.09941256,0,-0.106117598,-0.2451483,-0.33599976,0,0
-0.109169997,0,-0.116558136,-0.269932,-0.36996,0,0
-0.119340182,0,-0.127444134,-0.2958744,-0.4055068,0,0
-0.129917219,0,-0.138769638,-0.3229707,-0.44263344,0,0
-0.140895254,0,-0.150528742,-0.3512163,-0.48133352,0,0
-0.152268374,0,-0.162715472,-0.3806065,-0.5216004,0,0
-0.164030747,0,-0.175323944,-0.4111367,-0.56342776,0,0
-0.176176422,0,-0.188348144,-0.4428021,-0.60680888,0,0
-0.18869955,0,-0.20178217,-0.475598,-0.6517372,0,0
-0.201594288,0,-0.215620126,-0.50952,-0.69820648,0,0
-0.214854677,0,-0.229855988,-0.544563,-0.74620992,0,0
-0.228474872,0,-0.244483858,-0.5807226,-0.79574096,0,0
-0.242449032,0,-0.259497842,-0.6179942,-0.84679344,0,0
-0.256771194,0,-0.274891914,-0.6563728,-0.89936032,0,0
-0.271435514,0,-0.290660178,-0.6958538,-0.95343544,0,0
-0.286436156,0,-0.306796742,-0.7364328,-1.00901232,0,0
-0.301767147,0,-0.323295572,-0.7781049,-1.06608408,0,0
-0.31742265,0,-0.340150776,-0.8208653,-1.1246444,0,0
-0.333396783,0,-0.357356414,-0.8647096,-1.18468672,0,0
-0.349683713,0,-0.374906602,-0.909633,-1.2462048,0,0
-0.366277458,0,-0.392795296,-0.9556307,-1.3091916,0,0
-0.383172185,0,-0.411016606,-1.0026982,-1.37364096,0,0
-0.400362065,0,-0.429564652,-1.0508308,-1.43954632,0,0
-0.41784111,0,-0.448433382,-1.1000237,-1.50690096,0,0
-0.435603492,0,-0.467616914,-1.1502722,-1.5756984,0,0
-0.45364338,0,-0.487109366,-1.2015719,-1.64593248,0,0
-0.471954785,0,-0.506904682,-1.2539177,-1.71759616,0,0
-0.490531877,0,-0.526996982,-1.3073052,-1.79068312,0,0
-0.509368832,0,-0.547380388,-1.3617299,-1.86518704,0,0
-0.528459654,0,-0.568048838,-1.4171866,-1.94110096,0,0
-0.547798517,0,-0.588996454,-1.473671,-2.01841864,0,0
-0.567379539,0,-0.610217298,-1.5311782,-2.09713352,0,0
-0.587196836,0,-0.63170543,-1.5897037,-2.17723904,0,0
-0.607244646,0,-0.653455042,-1.6492431,-2.25872912,0,0
-0.627516851,0,-0.675459934,-1.7097911,-2.3415964,0,0
-0.648007682,0,-0.697714298,-1.7713432,-2.42583472,0,0
-0.668711261,0,-0.720212194,-1.8338949,-2.51143768,0,0
